scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
1,A1F11,,das,False,True,two_medium,22.9,34.349999999999994,1,3.7658937083116633,-5.126001192887585,-7.5,7.5,15.0,154,0.7740884298445251,0.21606454991041688,0.9973251999999775,16.921473551962755,0.0644361833952912,0.1210710128055879,7.25024251492735,6.698638319968798,2.437980823443101
155,A12F1,1.0,das,False,True,two_medium,39.0,58.5,1,-0.6618213651965118,0.06140468213350452,-7.5,22.5,5.0,438,0.3822271061867582,0.0033981139911148377,1.0037195999993855,23.457434789005877,0.0,0.0,11.582177845669959,10.055118895702162,11.534692340875088
428,A1F4,,das,False,True,two_medium,22.9,34.349999999999994,1,0.2675623437800063,0.47541655307607944,-20.0,17.5,5.0,212,1.315590405058837,0.263081863487741,0.9976858999998512,26.46904843208923,0.0,0.0,8.500105921404364,7.485944913214825,3.4069470758464755
168,A1F1,,das,False,True,two_medium,22.9,34.349999999999994,1,2.0198665143348027,2.1727901863650794,-5.0,22.5,10.0,269,0.9710869564098298,0.09424060721964934,0.9973861999988003,21.505208315350373,0.0,0.0,9.575961238337516,7.983256596820242,6.531238220142473
456,A12F13,4.0,das,False,True,two_medium,39.0,58.5,1,-0.8499092128296851,2.461050946439029,-22.5,-7.5,5.0,653,0.41866530669268065,0.03891417112548076,0.5846545000003971,23.83167990407455,0.0,0.0,9.788517000480843,8.327897314997571,6.2914629034725165
84,A14F12,3.0,das,False,True,two_medium,45.4,68.1,1,-3.1291659325735117,-0.5163436334860115,22.5,7.5,5.0,491,0.45853804783370644,0.19747526829146794,0.5943088999993051,26.853601465157674,0.0,0.0,10.460293728135774,9.45359717629437,7.036088872021619
228,A2F13,3.0,das,False,True,two_medium,48.5,72.75,1,-1.1576474220713517,1.9809287866095187,-32.5,22.5,10.0,731,0.3633565491514005,0.10259690546009705,0.5931034000004729,37.46165170650355,0.006730769230769231,0.013371537726838587,9.024640874462829,8.103016707126026,4.914033507652308
479,A13F11,2.0,das,False,True,two_medium,43.8,65.69999999999999,1,3.1457786577591738,3.319502310033814,-22.5,22.5,10.0,435,0.31853453861932524,0.20710485501019962,0.5848454999995738,32.02495050109483,0.0,0.0,11.692528283789983,10.426283038643842,8.073721656398103
422,A1F4,,das,False,True,two_medium,22.9,34.349999999999994,1,-1.1805452824616276,0.14185264486295843,5.0,0.0,10.0,217,0.4847826530339449,0.10111559305201025,0.571957600001042,6.182172932021015,0.38082901554404147,0.551594746716698,6.846932248246746,6.1651401851221355,3.085517952892636
113,A13F1,1.0,das,False,True,two_medium,43.8,65.69999999999999,1,0.29110690167614806,2.99790314408213,-7.5,22.5,5.0,892,0.22141634741744953,0.00161171429478304,0.5712227000003622,21.000788759733464,0.0,0.0,9.884569264700032,8.299089871773216,6.9261108879000135
297,A15F14,3.0,das,False,True,two_medium,56.2,84.30000000000001,1,-0.30155426196437995,0.18597804962655695,-7.5,-27.5,10.0,563,0.4601240020736352,0.06970763434912555,0.5853153000007296,28.60648530679445,0.0,0.0,12.383841904432769,11.185339418702927,10.282705108229376
60,A12F11,2.0,das,False,True,two_medium,39.0,58.5,1,-0.7123070753464,1.315410998144631,7.5,7.5,5.0,296,0.8539131546947464,0.009868704306428201,0.5793475000009494,10.280619077743077,0.03856749311294766,0.07427055702917772,12.417146707721434,11.115001446966339,15.546843682265147
434,A2F12,3.0,das,False,True,two_medium,48.5,72.75,1,1.293175230995761,0.5105630449331287,22.5,-22.5,15.0,559,0.5131566347744012,0.007243981641982622,0.6170320000001084,31.292418066172097,0.017684887459807074,0.03475513428120063,10.865763833389426,9.76024199530507,8.378070337488497
112,A13F1,1.0,das,False,True,two_medium,43.8,65.69999999999999,1,0.6143086276423516,2.4562713099298916,22.5,-22.5,10.0,895,0.27025426998874136,0.003636846259380342,0.6216846000006626,33.19335723515957,0.03421727972626176,0.06617038875103391,9.721940653759226,8.186876202932641,6.4877010164157936
430,A2F4,2.0,das,False,True,two_medium,48.5,72.75,1,53.45884748374626,55.96875881452393,37.5,7.5,10.0,619,0.2629321055397623,0.032009622593990095,0.6223551000002772,51.02847630519616,0.0,0.0,6.668668682519083,6.237497756616875,0.9930492074786947
58,A12F11,2.0,das,False,True,two_medium,39.0,58.5,1,0.08423509171097025,0.24105362632242056,7.5,7.5,15.0,290,0.8118172150064958,0.005136335945725028,0.6121823000012228,10.377180331426157,0.28737113402061853,0.44644644644644643,12.63637501365716,11.296658690606808,16.633937334531062
328,A12F3,2.0,das,False,True,two_medium,39.0,58.5,1,-1.2402034745259278,0.47965014795242267,22.5,-22.5,5.0,521,0.47020102629137667,0.09255221266596923,0.5778076999995392,33.04030238866138,0.008375209380234505,0.016611295681063124,10.836056949106844,9.324844069751542,8.349631091143145
501,A14F2,2.0,das,False,True,two_medium,45.4,68.1,1,-2.57700037322645,-0.16951655620915276,-22.5,-10.0,15.0,838,0.3179150638459421,0.015040069816468911,0.8132306000006793,22.21630749848104,0.06841741534208708,0.12807244501940493,10.415206291797148,8.831049914980664,8.250767392358773
280,A16F14,3.0,das,False,True,two_medium,57.0,85.5,1,0.8609368193906162,0.7389118196279024,7.5,15.0,10.0,732,0.3929507150972239,0.08704070574088028,0.6438151999991533,15.730727764616356,0.21254355400696864,0.3505747126436782,11.597844279329298,10.350435294089813,9.459578604354995
222,A15F2,1.0,das,False,True,two_medium,56.2,84.30000000000001,1,1.2357265683051697,-3.778339593031039,37.5,-22.5,5.0,641,0.49941369978326183,0.011562638084789592,0.6456380999989051,40.811739682628044,0.0,0.0,12.466922244770906,11.10209937796026,11.330910748913722
187,A16F1,1.0,das,False,True,two_medium,57.0,85.5,1,-43.423489090185925,-66.88584168552127,22.5,7.5,15.0,353,0.2624809956727093,0.023783164271425645,0.5321485999993456,99.39396288048533,0.0,0.0,2.168390504111471,2.134962986207217,0.14119165097313735
488,A3F4,,das,False,True,two_medium,56.9,85.35,1,0.30007514928759316,-0.003053936918281316,-22.5,-37.5,15.0,607,0.5869334382052953,0.010910694264471126,0.5646335999990697,43.884671479581804,0.0,0.0,11.650795827068007,10.580242154513918,10.950404401816115
225,A15F2,1.0,das,False,True,two_medium,56.2,84.30000000000001,1,28.59521898222833,-27.21181372721145,-7.5,37.5,5.0,797,0.20321802977932515,0.02224907431090343,0.5638572999996541,74.09779800534108,0.0,0.0,5.144052756147007,4.880468465093833,0.6791752084241204
196,A15F1,1.0,das,False,True,two_medium,56.2,84.30000000000001,1,-52.62092092444025,-21.484787176173057,7.5,22.5,5.0,535,0.18623291630698496,0.01163563435715018,0.5446823999991466,74.49286298522857,0.0,0.0,3.5445697707189994,3.4442902766947587,0.2649003367294144
261,A14F14,4.0,das,False,True,two_medium,45.4,68.1,1,0.34498681925000074,1.7901380080927156,7.5,-45.0,15.0,635,0.4314254617278371,0.04222078634298584,0.5455700999991677,47.33403879274479,0.0,0.0,10.464798345116911,9.201016437486958,7.271312280916594
68,A2F11,2.0,das,False,True,two_medium,48.5,72.75,1,0.061716599626549316,-0.19213724088503328,0.0,-7.5,15.0,636,0.5739882010006057,0.014140181823819454,0.572365499998341,7.308123359982977,0.41966173361522197,0.5912137006701415,11.154852208510768,9.836911449595771,9.79686248438936
121,A14F1,1.0,das,False,True,two_medium,45.4,68.1,1,47.03546672477925,48.62859947752665,22.5,22.5,10.0,482,0.2802994417197057,0.028543090849343523,0.5690074000012828,35.84261204292672,0.0,0.0,3.9599181017359566,3.799277315774496,0.39345980797669705
413,A1F3,,das,False,True,two_medium,22.9,34.349999999999994,1,-1.9675209460328666,1.609640980323182,-5.0,-20.0,15.0,197,1.2225061782858058,0.03457984192498648,0.5297631999983423,21.821377420117464,0.0033222591362126247,0.006622516556291391,9.043923347135655,7.963706810322119,6.016814843940451
31,A11F11,3.0,das,False,True,two_medium,33.1,49.650000000000006,1,3.3468807853582607,-3.9758565090293594,7.5,-37.5,10.0,367,0.7580305745348154,0.15535259493932052,0.5555694000013318,33.78041734517524,0.0,0.0,10.924590410864486,9.435022735385497,6.955370408134594
356,A16F5,4.0,das,False,True,two_medium,57.0,85.5,1,0.06518032509006662,-1.2256339608996991,17.5,2.5,10.0,465,0.5962006260256112,0.018268077706836625,0.5557315000005474,17.82844035543311,0.014267185473411154,0.028132992327365727,9.96151305611036,9.392179449153424,7.386236229481242
207,A12F2,2.0,das,False,True,two_medium,39.0,58.5,1,3.3007807630209673,2.383446777680166,7.5,-37.5,10.0,557,0.3520682275639082,0.09909736846959524,0.5526946999998472,40.10389967407485,0.0,0.0,9.524085879913656,8.323265152956434,6.18721007678422
172,A1F1,,das,False,True,two_medium,22.9,34.349999999999994,1,1.464828807675716,0.944043877657968,-7.5,-37.5,10.0,329,0.4992556372568733,0.3060154631579301,0.5576518999987456,39.475469157670865,0.0,0.0,11.170415281346745,8.588921160990909,8.2351162475414
301,A11F3,2.0,das,False,True,two_medium,33.1,49.650000000000006,1,1.112742462564852,2.560989794922405,-7.5,7.5,10.0,372,0.5179711765697077,0.5188156070629214,0.5539985000013985,9.928401408702628,0.23465703971119134,0.38011695906432746,9.275499925819828,8.230043142134907,5.063455936020217
382,A3F5,4.0,das,False,True,two_medium,56.9,85.35,1,-36.567312351088674,-45.95186008716168,22.5,-52.5,5.0,525,0.4581489286485115,0.025652726003886503,0.6446537000010721,59.429163923945445,0.0,0.0,7.022293285110315,6.721752519005443,1.1859951779251208
408,A1F3,,das,False,True,two_medium,22.9,34.349999999999994,1,1.113066525053094,-0.5246558744716774,-7.5,5.0,5.0,175,0.9159162255363827,0.17634108829580386,0.5868878000001132,10.232631015351066,0.08583690987124463,0.15810276679841898,7.251090482684729,6.629277340165097,3.592138909251032
404,A1F3,,das,False,True,two_medium,22.9,34.349999999999994,1,-0.7805686669583023,-0.4511586982660636,-22.5,-7.5,5.0,157,0.8563021642597178,0.1625705956106759,0.5284256000013556,22.834619793807462,0.0,0.0,6.300173624622994,5.867949425989838,2.645571545987936
185,A16F1,1.0,das,False,True,two_medium,57.0,85.5,1,-54.52656498078403,-54.2906974170429,25.0,7.5,10.0,587,0.14833315672200997,0.03027247926677588,0.5984482999992906,100.71030148364872,0.0,0.0,2.657828167150078,2.5856934894555113,0.19495221573114685
148,A12F1,1.0,das,False,True,two_medium,39.0,58.5,1,-5.832170132612931,6.845550632060799,7.5,-37.5,5.0,340,0.6354202868652764,0.14050774860247112,0.5684789999995701,46.30631297464315,0.0,0.0,9.037612883165112,8.351190706768193,3.201282542393714
138,A2F1,1.0,das,False,True,two_medium,48.5,72.75,1,-56.1789363737854,-58.44202772517933,22.5,-7.5,15.0,364,0.30234377048230143,0.05264657217870821,0.7160266999999294,93.73081253068871,0.0,0.0,4.411242454056997,4.284262076153396,0.4135619643932453
