scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
187,A16F1,1.0,das,False,False,geometry_informed,57.0,85.5,1,82.47289220875147,82.50957191386001,22.5,7.5,15.0,64,1.1032204654581441,,6.043082100000902,96.03740770440996,0.0,0.0,10.854947429643452,10.751198121278076,10.873331896533058
433,A16F4,2.0,das,False,False,geometry_informed,57.0,85.5,1,81.94406426687797,-82.0444954569275,37.5,-7.5,10.0,78,1.0890854532444616,,6.072487999997975,86.78799831478005,0.0,0.0,10.709317122536577,10.587667516474538,7.908612619497185
86,A13F2,2.0,das,False,False,geometry_informed,43.8,65.69999999999999,1,24.79899429663107,-14.422835899382186,7.5,37.5,10.0,454,0.6190464690667388,,5.518214399999124,54.728750136551135,0.0,0.0,3.268590775067276,3.1452341954169905,1.321695605977563
240,A2F2,2.0,das,False,False,geometry_informed,48.5,72.75,1,-68.74306919656497,69.30728021490773,-37.5,-7.5,5.0,93,0.8536687122975917,,5.5627964999985124,82.91856044838637,0.0,0.0,11.259452168021086,11.034290568367659,11.026113050596033
188,A16F1,1.0,das,False,False,geometry_informed,57.0,85.5,1,82.2953050978688,82.44148753524858,-7.5,37.5,10.0,67,1.0739117744414088,,4.163781899998867,100.41381438577187,0.0,0.0,11.22371790064712,11.104826939936261,11.117178335184668
67,A13F12,3.0,das,False,False,geometry_informed,43.8,65.69999999999999,1,-7.883749969232639,59.21988199535022,-22.5,22.5,5.0,495,0.34642200123122024,,6.846440400000574,39.5219495813953,0.0,0.0,6.02665973211471,5.675939163241852,3.2937731348955674
93,A11F1,1.0,das,False,False,geometry_informed,33.1,49.650000000000006,1,1.6285535259519957,5.27742843512366,7.5,-37.5,15.0,757,0.3494120314075259,,3.5499141000000236,43.178493109645885,0.0,0.0,2.1423133372982393,1.941511654288094,0.9577017034702713
414,A1F3,,das,False,False,geometry_informed,22.9,34.349999999999994,1,-29.808281877930327,11.332965097638645,-7.5,-10.0,10.0,406,0.27994219311000407,,3.2290522000002966,30.86672707305171,0.0,0.0,3.7471427751935455,3.280244922543825,2.6643434334761893
53,A16F12,2.0,das,False,False,geometry_informed,57.0,85.5,1,-37.43421458374324,-81.94907457258203,22.5,37.5,5.0,683,0.23282419513908734,,7.5485568000003695,133.64202742407213,0.0,0.0,9.26843250664951,8.57919106652416,4.313043563669782
499,A15F12,2.0,das,False,False,geometry_informed,56.2,84.30000000000001,1,45.15453259705757,82.40249602124288,22.5,-22.5,10.0,472,0.21786324811671365,,7.363773900000524,107.32083450420063,0.0,0.0,8.62184710070926,8.197743273053437,3.9155256320955254
39,A1F11,,das,False,False,geometry_informed,22.9,34.349999999999994,1,-1.442170526013438,-27.966492406506987,-22.5,-22.5,5.0,251,0.5918857241891823,,7.2768477000026905,21.75579742013369,0.0,0.0,2.8935428441290902,2.687829863946978,1.8114332806097422
6,A1F11,,das,False,False,geometry_informed,22.9,34.349999999999994,1,-14.699893783156515,-27.882782706568605,-15.0,-25.0,5.0,319,0.38530105978283125,,7.358347900000808,2.8983615845299777,0.18694362017804153,0.315,3.110856303484473,2.824525915761385,1.8974844186814137
22,A11F4,4.0,das,False,False,geometry_informed,33.1,49.650000000000006,1,-5.112500563775297,-3.434811698769105,0.0,12.5,15.0,658,0.36749652729992605,,3.929727999999159,16.73487035772406,0.15371621621621623,0.2664714494875549,2.4078050603109333,2.205052803105643,1.0563499256952906
497,A15F4,2.0,das,False,False,geometry_informed,56.2,84.30000000000001,1,-80.73434606596075,-80.6436969729468,37.5,7.5,5.0,86,0.9923855581587593,,3.9031929000011587,147.4743093074317,0.0,0.0,12.428638320912569,12.220554480819255,15.891629024412524
426,A1F4,,das,False,False,geometry_informed,22.9,34.349999999999994,1,1.4733564612740375,-2.1496900303296504,-12.5,0.0,10.0,453,0.39531707557671564,,3.7622303999996802,14.137745860650048,0.0847457627118644,0.15625,1.9970874575373532,1.7687862203575797,1.0731039428353257
9,A13F14,4.0,das,False,False,geometry_informed,43.8,65.69999999999999,1,-22.01021470973833,54.598688696449045,0.0,27.5,15.0,467,0.2910382402750314,,6.0567328999968595,34.911151236185795,0.0,0.0,5.297412147265645,5.032067358787559,2.542285912910261
250,A3F2,1.0,das,False,False,geometry_informed,56.9,85.35,1,-80.26737215914814,-70.1107980047899,-7.5,37.5,10.0,422,0.38085380632430127,,3.1805521999995108,129.90448143992438,0.0,0.0,11.590908257317206,10.830009231317328,8.579642150712589
282,A16F14,3.0,das,False,False,geometry_informed,57.0,85.5,1,24.225042151064216,83.18938696447472,2.5,-5.0,15.0,565,0.1641087138755763,,6.114025399998354,90.8259072601831,0.0,0.0,9.455501840764786,8.85086823182712,4.7196828756830085
483,A15F11,2.0,das,False,False,geometry_informed,56.2,84.30000000000001,1,-39.89245666073228,-81.5556682884218,37.5,7.5,10.0,585,0.21479406309423274,,7.14009889999943,117.98518721551761,0.0,0.0,9.899080116404622,9.189359037689844,5.122188113047428
229,A2F13,3.0,das,False,False,geometry_informed,48.5,72.75,1,8.601001364648344,-8.179897177940635,7.5,-37.5,5.0,709,0.481701814748089,,6.793579799999861,29.340767432040543,0.0,0.0,4.01862783152359,3.8069008580679093,1.5182162114401168
283,A16F14,3.0,das,False,False,geometry_informed,57.0,85.5,1,11.103204207638765,-82.95488846220307,-2.5,-10.0,10.0,404,0.28273634039881407,,5.889717999998538,74.21228277884471,0.0,0.0,9.393521144325742,8.959482880250986,4.514049226333344
136,A2F1,1.0,das,False,False,geometry_informed,48.5,72.75,1,-3.098438652103923,-1.1004050653485655,7.5,37.5,10.0,908,0.288130716846497,,3.735202100000606,40.028966675039186,0.0,0.0,3.115311699211092,2.9279891273639063,1.1627753379223467
49,A3F13,2.0,das,False,False,geometry_informed,56.9,85.35,1,-81.733591762866,82.01907271121024,7.5,52.5,10.0,87,1.0039249251140936,,7.3704225000001315,93.98941191768115,0.0,0.0,12.791937813966761,12.567692544714559,11.050690117953316
393,A3F5,4.0,das,False,False,geometry_informed,56.9,85.35,1,-74.56374172106636,-71.58775434858138,22.5,2.5,5.0,450,0.5543443560887783,,7.954467999999906,122.10800670435015,0.0,0.0,9.55072401163822,9.050991896623358,4.261944837833927
395,A2F5,4.0,das,False,False,geometry_informed,48.5,72.75,1,-69.69293755567617,-57.78552682592289,22.5,-22.5,10.0,276,0.33999787173445073,,7.703586499999801,98.71477163286013,0.0,0.0,10.40035614576321,9.880014150335308,8.175279194113193
