scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
468,A2F14,4.0,dmas,False,True,two_medium,48.5,72.75,1,0.991784665871176,0.5510198692698723,-22.5,-22.5,15.0,339,1.2663494762983827,0.09940275668733393,0.8064045000028273,32.912208430932345,0.0,0.0,12.7204113811522,11.655745889848227,10.136045523593435
397,A2F5,4.0,dmas,False,True,two_medium,48.5,72.75,1,-1.2303261720673848,0.7965493567587518,-17.5,-10.0,15.0,206,0.9952604177462474,0.038441237613211054,0.8029559999995399,19.52607908619248,0.017837235228539576,0.03504928806133625,10.836648770427,10.398897803017205,9.96936318290458
110,A13F1,1.0,dmas,False,True,two_medium,43.8,65.69999999999999,1,-0.7038076463358639,1.9943659064912338,22.5,-22.5,5.0,607,0.5209881130329908,0.04593373214892545,0.7909027000023343,33.740045205204375,0.0,0.0,10.550829999448105,9.230669315352417,7.075381635351368
262,A14F14,4.0,dmas,False,True,two_medium,45.4,68.1,0,1.3904726916121373,0.7263568469515572,37.5,-7.5,15.0,244,0.8517206749732328,0.34651339910743034,0.7884386000005179,37.03472572341526,0.0,0.0,12.964637375955114,12.027773122816505,12.888327150209086
359,A16F5,4.0,dmas,False,True,two_medium,57.0,85.5,1,0.051326210926614664,-0.10760472753936376,17.5,17.5,10.0,82,1.413501221368247,0.0022973227238338393,0.6910558999989007,24.788787006200266,0.0,0.0,17.564935716597088,16.93744565102491,29.86706080650523
415,A1F3,,dmas,False,True,two_medium,22.9,34.349999999999994,1,-2.3772827086284423,2.4101637193356655,0.0,23.0,5.0,159,1.2487830798019428,0.04191452805580678,0.6187743000009505,20.726621315142157,0.0,0.0,9.61270021118293,8.594006748454278,6.325283587043574
477,A13F11,2.0,dmas,False,True,two_medium,43.8,65.69999999999999,1,1.0161578766142307,0.5455289446975857,-7.5,-37.5,15.0,100,1.3962634015954636,0.1628546054076311,0.67818520000219,38.98701344885551,0.0,0.0,16.613892141919266,15.632381397812622,21.50670257109342
54,A12F11,2.0,dmas,False,True,two_medium,39.0,58.5,1,-0.8633809962772491,2.407920538115225,-22.5,-22.5,15.0,170,1.2708405737305528,0.12561421476306778,0.6724016000007396,32.993147583177304,0.0,0.0,14.534811229761992,13.281103814801224,18.064171527613055
423,A1F4,,dmas,False,True,two_medium,22.9,34.349999999999994,1,0.25742996693585796,1.2180665212230304,7.5,7.5,5.0,224,1.0822249202677643,0.3833563359630276,0.5929114000027766,9.58736193723892,0.06690140845070422,0.1254125412541254,9.097526970031776,7.873225600909642,4.6467536253273165
30,A11F11,3.0,dmas,False,True,two_medium,33.1,49.650000000000006,1,3.8267742972280354,-4.214020519891069,7.5,-37.5,15.0,186,0.9349379737083223,0.23077200962192226,0.6517067999993742,33.488042896140364,0.0,0.0,12.792011585645655,11.558198819359909,10.139726179762736
203,A3F1,,dmas,False,True,two_medium,56.9,85.35,1,-1.1939056779700685,1.4528393076786887,-22.5,22.5,10.0,457,0.5111099475580404,0.020408874149323773,0.6860241999966092,29.948833507628166,0.014511873350923483,0.02860858257477243,13.51312517516199,12.269953139747647,12.527479033194762
384,A3F5,4.0,dmas,False,True,two_medium,56.9,85.35,1,0.7688053123134121,-0.1648199740893244,-7.5,37.5,10.0,355,0.752413824944764,0.011782568633407318,0.6898032999997668,38.561792035297074,0.0,0.0,12.136196192517684,11.401792067640315,11.50511808544814
200,A3F1,,dmas,False,True,two_medium,56.9,85.35,1,0.08759850328600541,-0.23995995254479124,7.5,22.5,10.0,124,1.3479497890835097,0.03669403068649619,0.6776170999983151,23.917555782141047,0.0,0.0,18.18204647514041,17.138565934818907,34.518280338953915
235,A15F13,2.0,dmas,False,True,two_medium,56.2,84.30000000000001,1,-0.06956425529491944,1.153147027486702,-7.5,37.5,10.0,310,0.9510680884890975,0.032621899054264276,0.7149077000030957,37.098586177396164,0.0,0.0,15.188911306563881,13.906340117165435,13.542898732578774
11,A13F14,4.0,dmas,False,True,two_medium,43.8,65.69999999999999,1,0.7704504073901215,-1.758245117122963,7.5,-17.5,10.0,359,0.870240557591617,0.04480777837673104,0.6890475000000151,17.11986228075386,0.11423841059602649,0.2050520059435364,11.971961582409499,10.834898646151183,8.654903283707068
414,A1F3,,dmas,False,True,two_medium,22.9,34.349999999999994,1,-2.4065909382330415,1.9092780710512274,-7.5,-10.0,10.0,155,1.2173671532660448,0.03221160259603725,0.664785100001609,12.952749516767142,0.049107142857142856,0.09361702127659574,9.4655603591079,8.503181969951694,6.21829684548575
33,A11F11,3.0,dmas,False,True,two_medium,33.1,49.650000000000006,1,0.2946746242396854,0.15986706960482686,-22.5,-22.5,5.0,95,1.4195067875911076,0.05172143275915428,0.5777660999992804,32.14135602050912,0.0,0.0,16.507091408801454,15.023054665168793,25.10315062640956
68,A2F11,2.0,dmas,False,True,two_medium,48.5,72.75,1,-0.09751081944447823,-0.22008099109466522,0.0,-7.5,15.0,422,0.6546923949703174,0.014140181823819454,0.6416472999990219,7.2805720335788155,0.41478696741854637,0.5863596102745793,12.664150049387278,11.389451674627884,12.341438013694084
