scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
166,A1F1,,dmas,False,True,geometry_informed,22.9,34.349999999999994,1,-21.656274364132475,-22.3956109347537,0.0,-7.5,10.0,95,0.5641801551815319,0.2665692863670554,1.0356248000007326,26.284471546031423,0.0,0.0,5.320111324726012,5.12225653752003,2.2470593122204425
231,A2F13,3.0,dmas,False,True,geometry_informed,48.5,72.75,1,-0.2612576672082281,-3.0738751819356236,7.5,0.0,10.0,633,0.27850959696401933,0.13435028429968235,1.058303399999204,8.34780385556095,0.1257413997627521,0.22339304531085352,5.537034221639523,5.220794872205672,1.6910615241877696
144,A2F1,1.0,dmas,False,True,geometry_informed,48.5,72.75,1,-5.1212396676786955,-0.7385011117613239,-7.5,7.5,5.0,635,0.27611229550581573,0.01843452240627312,1.051207800001066,8.575045264435513,0.07854984894259819,0.14565826330532214,5.92702302460106,5.570116235270117,2.1371392329990595
114,A13F1,1.0,dmas,False,True,geometry_informed,43.8,65.69999999999999,1,19.528915415110887,-12.948670715429445,-7.5,-37.5,10.0,196,0.8446531688663915,0.0889701334117192,1.0547700999995868,36.51479204591792,0.0,0.0,4.337187021193239,4.255448469449316,1.4604602819143213
307,A11F3,2.0,dmas,False,True,geometry_informed,33.1,49.650000000000006,1,-46.3751052447999,-36.510152300562375,-7.5,-22.5,15.0,157,0.37022334142510605,0.25909512538131413,0.7280556000005163,41.3226109446054,0.0,0.0,8.472159362685055,8.086472119790368,4.949723029619892
77,A13F4,3.0,dmas,False,True,geometry_informed,43.8,65.69999999999999,1,17.88295636713669,-12.941993822507966,-27.5,-7.5,5.0,196,0.8768275686772509,0.11389043005615195,0.6979940000001079,45.70807396276556,0.0,0.0,4.336099486757682,4.25439303374813,1.4778145648337375
10,A13F14,4.0,dmas,False,True,geometry_informed,43.8,65.69999999999999,1,13.71742350437236,49.03769868374843,-22.5,-22.5,10.0,353,0.5728213877671472,0.1400981956699801,0.700969299999997,80.18319087104133,0.0,0.0,7.907690616516376,7.480717845508558,3.722969361494572
345,A11F11,3.0,dmas,False,True,geometry_informed,33.1,49.650000000000006,1,-18.095058213704096,43.29891580220941,-7.5,-22.5,10.0,161,0.6938222458545359,0.13835184975603584,0.7285628999998153,66.64647462017793,0.0,0.0,7.27803911590374,6.990097974509651,3.470999957625325
171,A1F1,,dmas,False,True,geometry_informed,22.9,34.349999999999994,1,28.5500805239848,30.584507575019746,-7.5,-15.0,5.0,99,0.7775441817634738,0.29581659237890917,0.6824940999995306,58.11674144893897,0.0,0.0,7.645668725291532,7.242465223685882,5.2010892249120815
21,A13F14,4.0,dmas,False,True,geometry_informed,43.8,65.69999999999999,1,-14.178388535635314,-50.117316317548884,-7.5,37.5,10.0,413,0.44495122288497413,0.2387600231070712,0.6844717000003584,87.87146858976651,0.0,0.0,7.616875699398841,7.157671424344966,3.356135912533217
