scan_idx,phant_id,birads,beamformer,use_bent_ray,use_cf,delay_model,breast_radius_mm,grid_radius_mm,tvsvd_removed,peak_x_mm,peak_y_mm,gt_x_mm,gt_y_mm,gt_r_mm,blob_area_px,blob_compactness,cf_at_peak,runtime_sec,localization_error_mm,iou,dice,scr_db,smr_db,cnr
497,A15F4,2.0,dmas,False,False,two_medium,56.2,84.30000000000001,1,-1.4481606354338776,-5.204714045139699,37.5,7.5,5.0,1690,0.23914650621894284,,1.1139352999998664,40.96790177507668,0.0,0.0,0.7594817554864435,0.711218329388787,2.074367249987188
365,A15F5,4.0,dmas,False,False,two_medium,56.2,84.30000000000001,1,-23.24031934007148,0.4759626066995107,37.5,-22.5,15.0,2207,0.14589460033820117,,1.1124746999994386,64.94059786634486,0.0,0.0,0.8489871222076142,0.7779655414853877,1.6429882818662531
151,A12F1,1.0,dmas,False,False,two_medium,39.0,58.5,1,-3.413483692151814,12.195835223125192,7.5,-37.5,10.0,1356,0.5693474072996437,,1.0754073999996763,50.88005665113665,0.0,0.0,0.6321517379673272,0.5663836265958218,2.2924517756240883
385,A3F5,4.0,dmas,False,False,two_medium,56.9,85.35,1,10.507704934779749,15.501353686118282,22.5,37.5,10.0,4287,0.2007723156473434,,1.1080820999995922,25.055050999241004,0.07102934326967862,0.13263752989780386,1.279136479340326,1.0687692324201572,2.290217763322499
121,A14F1,1.0,dmas,False,False,two_medium,45.4,68.1,1,3.0743144508689975,-17.672888230001902,22.5,22.5,10.0,1931,0.22014862150101216,,0.7125062000013713,44.62306811273674,0.0,0.0,0.608738076744672,0.542979131244548,2.015155729038955
3,A1F11,,dmas,False,False,two_medium,22.9,34.349999999999994,1,-0.8448526828691204,1.401582266227484,0.0,-25.0,10.0,1045,0.43373818509728285,,0.6154404000008071,26.41509648318796,0.03028009084027252,0.05878030859662013,1.0645753522088965,0.8146244673713776,3.037488028431686
108,A13F1,1.0,dmas,False,False,two_medium,43.8,65.69999999999999,1,3.698637247778001,-8.278703709028843,-7.5,-22.5,15.0,2016,0.32780139690683835,,0.6291230999995605,18.10123599102865,0.1680240034290613,0.2877064220183486,0.6568638612157072,0.5767865160185508,2.555387421838081
187,A16F1,1.0,dmas,False,False,two_medium,57.0,85.5,1,4.380409550684921,-1.7426011968642903,22.5,7.5,15.0,7348,0.12543087039614978,,0.6634575999996741,20.340728476020406,0.0017406440382941688,0.0034752389226759338,0.4666635353799842,0.34599040318773455,1.536808665270525
81,A14F12,3.0,dmas,False,False,two_medium,45.4,68.1,1,6.656885339583315,11.739316573137453,7.5,37.5,5.0,2416,0.2355688689899346,,0.6969394999978249,25.774476773537817,0.03269867549668874,0.06332665330661323,0.7961412334049525,0.6866802525316019,1.6351481649801343
75,A13F4,3.0,dmas,False,False,two_medium,43.8,65.69999999999999,1,-9.038147345376974,-0.2930679576193409,-22.5,22.5,15.0,2461,0.17784815647877625,,0.6889831000007689,26.471596548289916,0.09650639916983743,0.17602523659305994,0.7084071171399398,0.6026536620181415,1.9014960828274718
185,A16F1,1.0,dmas,False,False,two_medium,57.0,85.5,1,-1.247420262450298,3.379011038037114,25.0,7.5,10.0,8142,0.13333149530622848,,0.686410900001647,26.568959717277348,0.0014214641080312722,0.0028388928317956,0.4257090311764701,0.30432459100287074,1.4117832879733396
132,A14F1,1.0,dmas,False,False,two_medium,45.4,68.1,1,-13.820684319198943,-4.268034931742935,-22.5,-37.5,5.0,1335,0.4111387307658439,,0.6807165999998688,34.346674118244074,0.0,0.0,0.8404130353084034,0.7758945708912219,2.616743183416369
137,A2F1,1.0,dmas,False,False,two_medium,48.5,72.75,1,-7.047618022462032,-14.956774857803214,-7.5,37.5,5.0,1062,0.5776266270970153,,0.7214796999978716,52.45872546999075,0.0,0.0,0.6721965267432327,0.6366130017594395,2.583758779243664
244,A16F2,1.0,dmas,False,False,two_medium,57.0,85.5,1,-0.26065815426120276,0.47255824357933746,-22.5,-37.5,5.0,3162,0.1806450410873005,,0.7313788999999815,44.00572127909795,0.019490726186733733,0.038236201048411966,0.9180039418153457,0.8100965002272247,2.7280162827368843
16,A13F14,4.0,dmas,False,False,two_medium,43.8,65.69999999999999,1,17.79293413389984,23.65821777357014,7.5,-7.5,5.0,931,0.2895792441268382,,0.6672808000002988,32.81431132768175,0.0,0.0,0.9784121201315228,0.9210355099337109,1.6239327892150555
454,A12F13,4.0,dmas,False,False,two_medium,39.0,58.5,1,0.9275685581129707,1.8249927787072178,37.5,7.5,10.0,2535,0.18586051895843836,,0.6519303999994008,37.01011278736194,0.05512393636699963,0.10448807854137447,0.9711311887412437,0.7773865886184615,1.9856957883258899
392,A3F5,4.0,dmas,False,False,two_medium,56.9,85.35,1,-20.86561996876585,43.177343803456864,22.5,7.5,10.0,1161,0.24707541674323016,,0.6875213000021176,56.15558615263031,0.0,0.0,0.5016578769997455,0.4808385879477212,0.9711810133144708
472,A3F14,2.0,dmas,False,False,two_medium,56.9,85.35,1,2.191554816124249,1.603898824009408,22.5,-37.5,10.0,3482,0.17294286953902288,,0.9488611000015226,44.06299863859529,0.07205425261373269,0.13442277279915657,1.0652811384120784,0.9254581823571929,2.15349482009411
99,A11F1,1.0,dmas,False,False,two_medium,33.1,49.650000000000006,1,-13.209722652478234,-15.045477034717461,20.0,-7.5,5.0,488,1.1507579020092469,,0.7037028000013379,34.05612870447806,0.0,0.0,1.350631266295029,1.2754980271819147,2.8011267268870115
375,A3F5,4.0,dmas,False,False,two_medium,56.9,85.35,1,-2.042933061767266,-0.7234015706272695,7.5,-52.5,15.0,4575,0.1757150275095763,,0.6559906000002229,52.648682000007305,0.07755102040816327,0.14393939393939395,0.991090337130583,0.8222506222388194,2.0720166698022746
280,A16F14,3.0,dmas,False,False,two_medium,57.0,85.5,1,7.450589035400079,9.03751324869437,7.5,15.0,10.0,3543,0.1585000038685459,,0.6903956999994989,5.962691481446768,0.0,0.0,0.9947111764389345,0.8628592696131397,2.0006339573725933
