variant,n,mean_le,med_le,det20,iou,dice,scr
DAS+GIBR+CF,5,18.587,15.408,0.600,0.032,0.059,6.793
Raw DMAS,5,19.200,20.036,0.400,0.059,0.101,1.081
DAS+CF,5,19.540,21.047,0.400,0.083,0.138,7.542
DMAS+GIBR+CF,5,21.133,15.210,0.600,0.032,0.060,5.683
DAS+GIBR,5,21.224,15.059,0.600,0.029,0.056,3.882
DMAS+CF,5,22.051,20.924,0.400,0.062,0.101,5.583
Raw DAS,5,30.322,34.443,0.400,0.045,0.075,3.205
DMAS+GIBR,5,43.602,49.531,0.200,0.000,0.000,1.832
DMAS+MultiLayer,5,43.960,49.071,0.200,0.000,0.000,1.879
DAS+ML+CF,5,45.112,53.616,0.000,0.000,0.000,7.778
DMAS+ML+CF,5,45.301,53.986,0.000,0.000,0.000,6.397
DAS+MultiLayer,5,48.673,54.241,0.000,0.000,0.000,4.479
